== PHASE 6A — FACTOR SWEEP (borrowed alpha library, our statistics) ==
statistic mean 20d rank IC with Newey-West t (lag = horizon) — Phase 4's Gate-1 statistic, unchanged
reported  5d / 20d / 60d — 5d and 60d may not override the 20d decision
FDR       Benjamini-Hochberg q=0.05, normal-approximation p from the NW t (disclosed)
promotion top 20 US alphas by mean IC, pre-registered, no post-hoc addition

--- US ---
panel      us-2021-09-20_2026-09-17-1254s-555n-689572b-fwd-b1e4fbeabb44
window     2022-09-19 … 2026-09-17 (1003 sessions)
breadth    U1 547.7/day · U2 180.2/day  (U1 is primary; U2 reported)
statistic  mean 20d rank IC · NW t (lag 20) · 982 days on the first row · alphas 436 evaluated, 0 skipped
floors     power floor 0.0297 (t=2 at the lane's realized NW SE 0.01486) · FDR q=0.05 over K=436
luck       E[max|IC|] ≈ 0.0518 at the lane SE 0.01486 · 0.0358 at the sweep's own mean SE 0.01028 — K assumed independent, so this is CONSERVATIVE
labels     alive 0 · reversed 0 · dead 436   (FDR discoveries 0)

  alpha                      univ   meanIC     NWt    ICIR  days  brdth         p       FDR label    
  qlib158_std30              U2     0.0368    1.78    0.20   983  180.8    7.6e-2    0.7816 dead     
  qlib158_std10              U1     0.0356    1.88    0.21   983  547.6    6.0e-2    0.9821 dead     
  academic_carhart_mom       U2     0.0348    1.75    0.19   982  180.9    8.0e-2    0.7816 dead     
  qlib158_std20              U2     0.0329    1.66    0.18   983  180.8    9.7e-2    0.7816 dead     
  qlib158_std5               U1     0.0327    1.98    0.20   983  547.6    4.7e-2    0.9821 dead     
  qlib158_sumn60             U2     0.0325    2.16    0.21   983  180.8    3.0e-2    0.7816 dead     
  qlib158_std10              U2     0.0294    1.59    0.16   983  180.8    1.1e-1    0.7816 dead     
  qlib158_std20              U1     0.0281    1.43    0.16   983  547.6    1.5e-1    0.9821 dead     
  qlib158_std30              U1     0.0278    1.41    0.16   983  547.6    1.6e-1    0.9821 dead     
  qlib158_std60              U1     0.0272    1.38    0.16   983  547.6    1.7e-1    0.9821 dead     
  qlib158_beta30             U2     0.0257    1.70    0.15   983  180.8    8.9e-2    0.7816 dead     
  qlib158_roc30              U2     0.0257    1.70    0.15   983  180.8    8.9e-2    0.7816 dead     
  qlib158_klen               U1     0.0255    1.50    0.16   983  547.6    1.3e-1    0.9821 dead     
  academic_cma               U2     0.0253    2.56    0.25   983  180.8    1.1e-2    0.7816 dead     
  qlib158_std60              U2     0.0233    1.19    0.13   983  180.8    2.4e-1    0.7816 dead     
  alpha101_024               U2     0.0227    2.04    0.16   983  180.8    4.2e-2    0.7816 dead     
  qlib158_std5               U2     0.0222    1.38    0.13   983  180.8    1.7e-1    0.7816 dead     
  qlib158_sumn60             U1     0.0220    1.25    0.13   983  547.6    2.1e-1    0.9821 dead     
  alpha101_037               U1     0.0217    2.34    0.18   983  547.6    2.0e-2    0.9821 dead     
  qlib158_cntp30             U2     0.0214    1.69    0.16   983  180.8    9.2e-2    0.7816 dead     
  qlib158_cntd30             U2     0.0213    1.68    0.16   983  180.8    9.4e-2    0.7816 dead     
  qlib158_max5               U1     0.0212    1.88    0.14   983  547.6    6.1e-2    0.9821 dead     
  qlib158_resi60             U2     0.0206    1.29    0.13   983  180.8    2.0e-1    0.7816 dead     
  qlib158_max10              U1     0.0206    1.63    0.13   983  547.6    1.0e-1    0.9821 dead     
  qlib158_rsqr20             U2     0.0200    1.62    0.13   983  180.8    1.1e-1    0.7816 dead     
  qlib158_klen               U2     0.0193    1.23    0.12   983  180.8    2.2e-1    0.7816 dead     
  qlib158_max60              U2     0.0193    1.37    0.12   983  180.8    1.7e-1    0.7816 dead     
  qlib158_max20              U2     0.0168    1.23    0.10   983  180.8    2.2e-1    0.7816 dead     
  qlib158_imin60             U2     0.0167    1.15    0.11   983  180.8    2.5e-1    0.7816 dead     
  qlib158_cntp20             U2     0.0167    1.36    0.12   983  180.8    1.7e-1    0.7816 dead     
  qlib158_max10              U2     0.0167    1.31    0.10   983  180.8    1.9e-1    0.7816 dead     
  academic_mkt_rf            U2     0.0164    1.10    0.10   983  180.8    2.7e-1    0.7816 dead     
  qlib158_max5               U2     0.0162    1.41    0.10   983  180.8    1.6e-1    0.7816 dead     
  qlib158_cntd20             U2     0.0161    1.31    0.12   983  180.8    1.9e-1    0.7816 dead     
  academic_carhart_mom       U1     0.0158    0.77    0.08   982  547.6    4.4e-1    0.9821 dead     
  qlib158_max30              U2     0.0155    1.11    0.09   983  180.8    2.7e-1    0.7816 dead     
  qlib158_resi30             U2     0.0151    0.98    0.09   983  180.8    3.3e-1    0.7947 dead     
  qlib158_beta20             U2     0.0150    1.00    0.09   983  180.8    3.2e-1    0.7947 dead     
  qlib158_roc20              U2     0.0150    1.00    0.09   983  180.8    3.2e-1    0.7947 dead     
  qlib158_sumd30             U2     0.0148    1.08    0.09   983  180.8    2.8e-1    0.7816 dead     
  qlib158_sump30             U2     0.0148    1.08    0.09   983  180.8    2.8e-1    0.7816 dead     
  qlib158_rsqr30             U2     0.0148    1.12    0.10   983  180.8    2.6e-1    0.7816 dead     
  qlib158_klow               U1     0.0143    1.79    0.12   983  547.6    7.3e-2    0.9821 dead     
  qlib158_imin60             U1     0.0141    1.01    0.11   983  547.6    3.1e-1    0.9821 dead     
  alpha101_024               U1     0.0137    1.51    0.13   983  547.6    1.3e-1    0.9821 dead     
  qlib158_max20              U1     0.0137    0.92    0.08   983  547.6    3.6e-1    0.9821 dead     
  qlib158_qtlu5              U1     0.0136    1.76    0.09   983  547.6    7.8e-2    0.9821 dead     
  academic_illiq             U2     0.0132    0.87    0.09   983  180.8    3.8e-1    0.8282 dead     
  qlib158_wvma10             U2     0.0127    1.46    0.10   983  180.8    1.5e-1    0.7816 dead     
  qlib158_cntn60             U1     0.0126    0.81    0.09   983  547.6    4.2e-1    0.9821 dead     
  qlib158_qtlu10             U1     0.0125    1.23    0.08   983  547.6    2.2e-1    0.9821 dead     
  qlib158_max60              U1     0.0124    0.66    0.07   983  547.6    5.1e-1    0.9821 dead     
  qlib158_wvma5              U2     0.0121    1.78    0.10   983  180.8    7.4e-2    0.7816 dead     
  alpha101_037               U2     0.0111    0.93    0.07   983  180.8    3.5e-1    0.8135 dead     
  qlib158_sump30             U1     0.0109    0.67    0.07   983  547.6    5.0e-1    0.9821 dead     
  qlib158_sumd30             U1     0.0109    0.67    0.07   983  547.6    5.0e-1    0.9821 dead     
  qlib158_vma60              U2     0.0109    1.64    0.10   983  180.8    1.0e-1    0.7816 dead     
  alpha101_029               U1     0.0108    1.63    0.08   983  547.6    1.0e-1    0.9821 dead     
  qlib158_rsqr5              U2     0.0107    1.56    0.07   983  180.8    1.2e-1    0.7816 dead     
  alpha101_008               U1     0.0102    1.28    0.08   983  547.6    2.0e-1    0.9821 dead     
  alpha101_043               U2     0.0102    1.48    0.07   983  180.8    1.4e-1    0.7816 dead     
  qlib158_qtlu10             U2     0.0101    0.88    0.05   983  180.8    3.8e-1    0.8282 dead     
  qlib158_wvma5              U1     0.0100    2.49    0.12   983  547.6    1.3e-2    0.9821 dead     
  alpha101_008               U2     0.0098    0.95    0.06   983  180.8    3.4e-1    0.8135 dead     
  qlib158_kup                U2     0.0096    1.14    0.07   983  180.8    2.6e-1    0.7816 dead     
