symbol,ex_date,detector_factor,tier,verdict,registry_action,evidence
AGL,2024-11-08,1.55,NEAR,no-ca,Q3 2024 earnings gap-down 2024-11-08 (PR 2024-11-07),none,nasdaq.com PR; only real split is 1:25 reverse 2026-03-30
ARI,2026-07-16,1.5455,NEAR,real-special-dividend,"$3.50 special cash dividend ex 2026-07-16 (OCC infomemo 59316); observed -$3.52 step matches; additive event, NOT appended to SplitEvent pending modeling decision",deferred,infomemo.theocc.com #59316
ARMP,2022-12-28,1.4444,NEAR,no-ca,thin-market drift across holiday gap; no CA near date (split history: only 2019 1:14),none,companiesmarketcap.com/armata-pharmaceuticals
BERZ,2022-03-21,1.4545,NEAR,no-ca,-3x inverse ETN beta during FANG rally week; only reverse split 1:20 on 2026-02-24 (BMO),none,BMO PR 2026-02-12
BITU,2024-08-05,1.5714,NEAR,no-ca,2x bitcoin ETF beta on 2024-08-05 yen-carry crash (BTC -15-20%),none,market record
BNED,2024-05-23,1.6154,NEAR,no-ca,meme/pump whipsaw week; real 1:100 reverse already registered 2024-06-12,none,publishersmarketplace 2024-05-23
CTM,2023-08-16,1.4091,NEAR,no-ca,Castellum Inc post-earnings microcap move (Q2 2023 PR 2023-08-14); not Castor Maritime,none,finance.yahoo.com Castellum Q2 2023
CYH,2023-05-02,1.6471,NEAR,no-ca,post-Q1-2023-earnings selloff (8-K 2023-04-26); CYH never split,none,sec.gov CYH 8-K EX-99.1
DXF,2025-01-28,0.4769,NEAR,no-ca,Eason Technology ADS post-relisting price discovery (suspension lifted 2025-01-17); bidirectional chaos,none,stockhouse PR 2025-01-17
GCDT,2026-02-27,1.5882,NEAR,no-ca,post-IPO microcap fade (IPO 2026-01-13); no CA near date,none,6-K 2026-02-12
HIYY,2026-03-12,0.575,NEAR,no-ca,trading halt 2026-03-05 + NAV restatement; stale-vs-restated pricing not a split,none,GlobeNewswire halt notice 2026-03-05
IBO,2025-04-04,0.4828,NEAR,no-ca,low-float pump after DSS-dividend share restriction lifted 2025-03-13; tariff-crash session,none,impactbiomedinc.com
INUV,2023-01-12,0.7,NEAR,no-ca,illiquid penny drift across 13d gap; splits only 2010 and 2025-06-10,none,inuvo.com/investor split history
INUV,2026-01-29,1.4375,NEAR,no-ca,thin-name repricing; no CA near date,none,inuvo.com/investor split history
ITRG,2023-05-26,0.4167,NEAR,real-reverse-split,"1-for-2.5 consolidation ex 2023-05-26 (PR + 2023 20-F); APPENDED REVERSE_SPLIT factor 0.4162 close-measured inband/estimated",appended,integraresources.com PR; sec.gov 20-F
